elapsed_ms,frame,scene,event,ms
6009.6197,108,18,Resident previous build elapsed sum ms,5.8094
6009.624,108,18,Resident previous sort elapsed sum ms,6.4981
6009.6262,108,18,Resident previous RenderMeshes elapsed sum ms,4.3897
6009.6285,108,18,Resident previous RenderMeshes max pass ms,2.1983
6009.6307,108,18,Resident previous RenderMeshes calls,2
6031.9588,109,18,Resident previous build elapsed sum ms,7.4758
6031.9629,109,18,Resident previous sort elapsed sum ms,6.8517
6031.9651,109,18,Resident previous RenderMeshes elapsed sum ms,4.1462
6031.9672,109,18,Resident previous RenderMeshes max pass ms,2.1742
6031.9694,109,18,Resident previous RenderMeshes calls,2
6051.5146,110,18,Resident previous build elapsed sum ms,5.7406
6051.5186,110,18,Resident previous sort elapsed sum ms,6.6979
6051.5207,110,18,Resident previous RenderMeshes elapsed sum ms,4.1158
6051.5231,110,18,Resident previous RenderMeshes max pass ms,2.0679
6051.5751,110,18,Resident previous RenderMeshes calls,2
6070.9857,111,18,Resident previous build elapsed sum ms,5.8935
6070.9895,111,18,Resident previous sort elapsed sum ms,6.591
6070.9917,111,18,Resident previous RenderMeshes elapsed sum ms,3.9646
6070.9941,111,18,Resident previous RenderMeshes max pass ms,1.9935
6070.9963,111,18,Resident previous RenderMeshes calls,2
6092.478,112,18,Resident previous build elapsed sum ms,10.0163
6092.4828,112,18,Resident previous sort elapsed sum ms,6.4563
6092.4851,112,18,Resident previous RenderMeshes elapsed sum ms,3.816
6092.4875,112,18,Resident previous RenderMeshes max pass ms,1.9129
6092.4898,112,18,Resident previous RenderMeshes calls,2
6111.604,113,18,Resident previous build elapsed sum ms,5.8267
6111.6079,113,18,Resident previous sort elapsed sum ms,6.7131
6111.61,113,18,Resident previous RenderMeshes elapsed sum ms,4.4038
6111.6126,113,18,Resident previous RenderMeshes max pass ms,2.2653
6111.6592,113,18,Resident previous RenderMeshes calls,2
6131.3003,114,18,Resident previous build elapsed sum ms,6.5189
6131.3045,114,18,Resident previous sort elapsed sum ms,6.7265
6131.3068,114,18,Resident previous RenderMeshes elapsed sum ms,4.065
6131.3092,114,18,Resident previous RenderMeshes max pass ms,2.0573
6131.3115,114,18,Resident previous RenderMeshes calls,2
6150.3214,115,18,Resident previous build elapsed sum ms,6.6248
6150.3256,115,18,Resident previous sort elapsed sum ms,6.2298
6150.3279,115,18,Resident previous RenderMeshes elapsed sum ms,4.1666
6150.3301,115,18,Resident previous RenderMeshes max pass ms,2.0868
6150.3323,115,18,Resident previous RenderMeshes calls,2
6170.4902,116,18,Resident previous build elapsed sum ms,5.5054
6170.4985,116,18,Resident previous sort elapsed sum ms,6.7573
6170.5012,116,18,Resident previous RenderMeshes elapsed sum ms,4.6648
6170.5037,116,18,Resident previous RenderMeshes max pass ms,2.3366
6170.5439,116,18,Resident previous RenderMeshes calls,2
6192.6494,117,18,Resident previous build elapsed sum ms,8.2928
6192.6534,117,18,Resident previous sort elapsed sum ms,6.8751
6192.6554,117,18,Resident previous RenderMeshes elapsed sum ms,5.1614
6192.6579,117,18,Resident previous RenderMeshes max pass ms,2.5815
6192.6599,117,18,Resident previous RenderMeshes calls,2
6212.7818,118,18,Resident previous build elapsed sum ms,6.7641
6212.7866,118,18,Resident previous sort elapsed sum ms,6.8055
6212.7888,118,18,Resident previous RenderMeshes elapsed sum ms,3.7377
6212.7911,118,18,Resident previous RenderMeshes max pass ms,1.8718
6212.7934,118,18,Resident previous RenderMeshes calls,2
6232.31,119,18,Resident previous build elapsed sum ms,5.8238
6232.3142,119,18,Resident previous sort elapsed sum ms,6.7739
6232.3163,119,18,Resident previous RenderMeshes elapsed sum ms,4.1193
6232.3187,119,18,Resident previous RenderMeshes max pass ms,2.0765
6232.3594,119,18,Resident previous RenderMeshes calls,2
6252.8379,120,18,Resident previous build elapsed sum ms,6.896
6252.8422,120,18,Resident previous sort elapsed sum ms,6.7946
6252.8444,120,18,Resident previous RenderMeshes elapsed sum ms,4.3257
6252.8473,120,18,Resident previous RenderMeshes max pass ms,2.1678
6252.8494,120,18,Resident previous RenderMeshes calls,2
6277.718,121,18,Resident previous build elapsed sum ms,6.4214
6277.7221,121,18,Resident previous sort elapsed sum ms,10.278
6277.7244,121,18,Resident previous RenderMeshes elapsed sum ms,7.8315
6277.7267,121,18,Resident previous RenderMeshes max pass ms,3.9158
6277.729,121,18,Resident previous RenderMeshes calls,2
6298.3172,122,18,Resident previous build elapsed sum ms,7.6107
6298.3211,122,18,Resident previous sort elapsed sum ms,6.811
6298.3234,122,18,Resident previous RenderMeshes elapsed sum ms,3.8893
6298.3256,122,18,Resident previous RenderMeshes max pass ms,1.9585
6298.3839,122,18,Resident previous RenderMeshes calls,2
6319.1702,123,18,Resident previous build elapsed sum ms,7.5721
6319.1747,123,18,Resident previous sort elapsed sum ms,6.8304
6319.1769,123,18,Resident previous RenderMeshes elapsed sum ms,5.3559
6319.1792,123,18,Resident previous RenderMeshes max pass ms,2.681
6319.1815,123,18,Resident previous RenderMeshes calls,2
6340.5904,124,18,Resident previous build elapsed sum ms,7.6842
6340.5945,124,18,Resident previous sort elapsed sum ms,6.863
6340.5967,124,18,Resident previous RenderMeshes elapsed sum ms,5.9794
6340.5991,124,18,Resident previous RenderMeshes max pass ms,2.9957
6340.6013,124,18,Resident previous RenderMeshes calls,2
6363.4588,125,18,Resident previous build elapsed sum ms,6.6654
6363.4627,125,18,Resident previous sort elapsed sum ms,10.0733
6363.465,125,18,Resident previous RenderMeshes elapsed sum ms,6.1332
6363.4674,125,18,Resident previous RenderMeshes max pass ms,3.0666
6363.5128,125,18,Resident previous RenderMeshes calls,2
6384.7401,126,18,Resident previous build elapsed sum ms,5.4695
6384.7445,126,18,Resident previous sort elapsed sum ms,7.3494
6384.7467,126,18,Resident previous RenderMeshes elapsed sum ms,6.5105
6384.7489,126,18,Resident previous RenderMeshes max pass ms,3.2739
6384.7513,126,18,Resident previous RenderMeshes calls,2
6404.0635,127,18,Resident previous build elapsed sum ms,6.2527
6404.0676,127,18,Resident previous sort elapsed sum ms,6.9184
6404.0702,127,18,Resident previous RenderMeshes elapsed sum ms,3.8086
6404.0725,127,18,Resident previous RenderMeshes max pass ms,1.935
6404.0748,127,18,Resident previous RenderMeshes calls,2
6423.483,128,18,Resident previous build elapsed sum ms,6.384
6423.4872,128,18,Resident previous sort elapsed sum ms,6.8891
6423.4894,128,18,Resident previous RenderMeshes elapsed sum ms,3.8697
6423.4921,128,18,Resident previous RenderMeshes max pass ms,1.9459
6423.5417,128,18,Resident previous RenderMeshes calls,2
6446.3621,129,18,Resident previous build elapsed sum ms,6.5964
6446.3661,129,18,Resident previous sort elapsed sum ms,10.4047
6446.3684,129,18,Resident previous RenderMeshes elapsed sum ms,7.1878
6446.3707,129,18,Resident previous RenderMeshes max pass ms,3.5939
6446.3727,129,18,Resident previous RenderMeshes calls,2
6465.4537,130,18,Resident previous build elapsed sum ms,5.7117
6465.4576,130,18,Resident previous sort elapsed sum ms,6.6549
6465.4597,130,18,Resident previous RenderMeshes elapsed sum ms,3.9988
6465.462,130,18,Resident previous RenderMeshes max pass ms,2.031
6465.4643,130,18,Resident previous RenderMeshes calls,2
6485.9243,131,18,Resident previous build elapsed sum ms,6.6975
6485.9293,131,18,Resident previous sort elapsed sum ms,6.6929
6485.9315,131,18,Resident previous RenderMeshes elapsed sum ms,5.8676
6485.9338,131,18,Resident previous RenderMeshes max pass ms,2.9339
6485.9743,131,18,Resident previous RenderMeshes calls,2
6505.6187,132,18,Resident previous build elapsed sum ms,6.5185
6505.6226,132,18,Resident previous sort elapsed sum ms,6.615
6505.6248,132,18,Resident previous RenderMeshes elapsed sum ms,4.3698
