id,samples,classification,memory_operands,writes,admitted,reasons
a0a0babad8bef48b:1d78d0-1d7a27,15,unsupported_or_unclosed_loop,33,4,False,calls_have_unclosed_effects_and_dependencies;internal_control_flow_not_proven_elementwise;memory_address_recurrence_not_proven_affine;entry_bounds_and_task_size_unknown;cross_iteration_aliasing_unproven;concurrent_writer_ownership_unproven;first_consumer_and_deadline_unknown;register_flags_and_numeric_exit_contract_unproven
a0a0babad8bef48b:223764-2238e3,14,unsupported_or_unclosed_loop,30,8,False,internal_control_flow_not_proven_elementwise;memory_address_recurrence_not_proven_affine;entry_bounds_and_task_size_unknown;cross_iteration_aliasing_unproven;concurrent_writer_ownership_unproven;first_consumer_and_deadline_unknown;register_flags_and_numeric_exit_contract_unproven
a0a0babad8bef48b:223764-223921,14,unsupported_or_unclosed_loop,38,12,False,internal_control_flow_not_proven_elementwise;memory_address_recurrence_not_proven_affine;entry_bounds_and_task_size_unknown;cross_iteration_aliasing_unproven;concurrent_writer_ownership_unproven;first_consumer_and_deadline_unknown;register_flags_and_numeric_exit_contract_unproven
a0a0babad8bef48b:223764-22393c,14,unsupported_or_unclosed_loop,42,14,False,internal_control_flow_not_proven_elementwise;memory_address_recurrence_not_proven_affine;entry_bounds_and_task_size_unknown;cross_iteration_aliasing_unproven;concurrent_writer_ownership_unproven;first_consumer_and_deadline_unknown;register_flags_and_numeric_exit_contract_unproven
a0a0babad8bef48b:2235a0-2239a4,14,unsupported_or_unclosed_loop,59,15,False,calls_have_unclosed_effects_and_dependencies;internal_control_flow_not_proven_elementwise;memory_address_recurrence_not_proven_affine;entry_bounds_and_task_size_unknown;cross_iteration_aliasing_unproven;concurrent_writer_ownership_unproven;first_consumer_and_deadline_unknown;register_flags_and_numeric_exit_contract_unproven
a0a0babad8bef48b:223810-22389e,8,unsupported_or_unclosed_loop,10,2,False,internal_control_flow_not_proven_elementwise;memory_address_recurrence_not_proven_affine;entry_bounds_and_task_size_unknown;cross_iteration_aliasing_unproven;concurrent_writer_ownership_unproven;first_consumer_and_deadline_unknown;register_flags_and_numeric_exit_contract_unproven
a0a0babad8bef48b:1c9e90-1ca188,6,unsupported_or_unclosed_loop,87,40,False,calls_have_unclosed_effects_and_dependencies;internal_control_flow_not_proven_elementwise;memory_address_recurrence_not_proven_affine;output_overlap_between_iterations;entry_bounds_and_task_size_unknown;cross_iteration_aliasing_unproven;concurrent_writer_ownership_unproven;first_consumer_and_deadline_unknown;register_flags_and_numeric_exit_contract_unproven
a0a0babad8bef48b:223770-2237f7,5,unsupported_or_unclosed_loop,10,2,False,internal_control_flow_not_proven_elementwise;entry_bounds_and_task_size_unknown;cross_iteration_aliasing_unproven;concurrent_writer_ownership_unproven;first_consumer_and_deadline_unknown;register_flags_and_numeric_exit_contract_unproven
a0a0babad8bef48b:1d1180-1d122d,3,unsupported_or_unclosed_loop,21,7,False,calls_have_unclosed_effects_and_dependencies;internal_control_flow_not_proven_elementwise;memory_address_recurrence_not_proven_affine;output_overlap_between_iterations;entry_bounds_and_task_size_unknown;cross_iteration_aliasing_unproven;concurrent_writer_ownership_unproven;first_consumer_and_deadline_unknown;register_flags_and_numeric_exit_contract_unproven
a0a0babad8bef48b:230f13-231a9b,2,unsupported_or_unclosed_loop,254,39,False,simd_loop_carried_state_requires_recurrence_semantics;calls_have_unclosed_effects_and_dependencies;internal_control_flow_not_proven_elementwise;memory_address_recurrence_not_proven_affine;entry_bounds_and_task_size_unknown;cross_iteration_aliasing_unproven;concurrent_writer_ownership_unproven;first_consumer_and_deadline_unknown;register_flags_and_numeric_exit_contract_unproven
a0a0babad8bef48b:230f07-231ac3,2,unsupported_or_unclosed_loop,258,41,False,simd_loop_carried_state_requires_recurrence_semantics;calls_have_unclosed_effects_and_dependencies;internal_control_flow_not_proven_elementwise;memory_address_recurrence_not_proven_affine;entry_bounds_and_task_size_unknown;cross_iteration_aliasing_unproven;concurrent_writer_ownership_unproven;first_consumer_and_deadline_unknown;register_flags_and_numeric_exit_contract_unproven
a0a0babad8bef48b:2448f0-244a0b,2,unsupported_or_unclosed_loop,36,15,False,calls_have_unclosed_effects_and_dependencies;internal_control_flow_not_proven_elementwise;unsupported_atomic_or_system_effects;memory_address_recurrence_not_proven_affine;output_overlap_between_iterations;entry_bounds_and_task_size_unknown;cross_iteration_aliasing_unproven;concurrent_writer_ownership_unproven;first_consumer_and_deadline_unknown;register_flags_and_numeric_exit_contract_unproven
