iteration,records,groups,words,full_ms,copy_ms,record_ms,submit_ms,wait_ms,consume_ms,gpu_ms,gpu_upload_ms,gpu_return_ms
-2,65536,1,65536,2.5095,0.1285,1.0807,0.2724,1.0264,0.0013,0.387232,0.08688,0.004096
-1,65536,1,65536,0.7825,0.0825,0.0775,0.0593,0.5613,0.0014,0.355808,0.085536,0.003072
0,65536,1,65536,0.7103,0.0619,0.0617,0.0521,0.5335,0.0008,0.343456,0.086624,0.003072
1,65536,1,65536,0.6998,0.0403,0.0575,0.049,0.5516,0.0008,0.358848,0.087616,0.003072
2,65536,1,65536,0.7006,0.0393,0.0551,0.05,0.555,0.0007,0.357472,0.086944,0.004096
3,65536,1,65536,0.6784,0.0392,0.0541,0.0477,0.5362,0.0007,0.347616,0.08656,0.004096
4,65536,1,65536,0.7074,0.039,0.0542,0.0466,0.5661,0.0009,0.415392,0.088416,0.003072
5,65536,1,65536,1.339,0.052,0.0792,0.0779,1.1284,0.0009,0.6056,0.31088,0.004096
6,65536,1,65536,0.7872,0.0709,0.0918,0.0771,0.5462,0.0008,0.356448,0.088992,0.004096
7,65536,1,65536,0.7199,0.041,0.0617,0.0522,0.5638,0.0008,0.360416,0.087072,0.004096
8,65536,1,65536,0.7082,0.0397,0.0546,0.0459,0.5668,0.0008,0.357952,0.086464,0.004288
9,65536,1,65536,0.6818,0.0385,0.0538,0.0462,0.5423,0.0007,0.351264,0.087008,0.003072
10,65536,1,65536,0.7191,0.0391,0.0541,0.0453,0.5794,0.0007,0.366528,0.08608,0.004096
11,65536,1,65536,0.6795,0.039,0.0527,0.0457,0.5409,0.0007,0.348672,0.086528,0.004096
12,65536,1,65536,0.7131,0.038,0.0525,0.0443,0.5771,0.0008,0.360992,0.086496,0.004096
13,65536,1,65536,1.1809,0.0687,0.0686,0.0786,0.9632,0.0013,0.804736,0.087168,0.004096
14,65536,1,65536,1.069,0.1073,0.0878,0.1041,0.7688,0.0008,0.468416,0.222784,0.003072
15,65536,1,65536,0.7632,0.0548,0.0798,0.0601,0.5675,0.0008,0.373536,0.08624,0.003072
16,65536,1,65536,0.7097,0.0423,0.0567,0.0459,0.5637,0.0008,0.359296,0.086144,0.003072
17,65536,1,65536,0.7012,0.0429,0.0536,0.0463,0.5574,0.0008,0.362496,0.086016,0.003104
18,65536,1,65536,0.6942,0.0424,0.0537,0.0446,0.5522,0.0006,0.363072,0.086464,0.004096
19,65536,1,65536,0.6946,0.0416,0.0524,0.044,0.555,0.0011,0.35808,0.086336,0.003136
