iteration,mode,records,words,ns,input_bytes,output_bytes
-3,packet_prepare,65536,65536,156900,1048576,1048576
-3,mask_original,65536,65536,74300,1048576,262144
-2,mask_original,65536,65536,57000,1048576,262144
-2,packet_prepare,65536,65536,56200,1048576,1048576
-1,packet_prepare,65536,65536,56000,1048576,1048576
-1,mask_original,65536,65536,57300,1048576,262144
0,mask_original,65536,65536,57300,1048576,262144
0,packet_prepare,65536,65536,57600,1048576,1048576
1,packet_prepare,65536,65536,56900,1048576,1048576
1,mask_original,65536,65536,57700,1048576,262144
2,mask_original,65536,65536,78600,1048576,262144
2,packet_prepare,65536,65536,55800,1048576,1048576
3,packet_prepare,65536,65536,54800,1048576,1048576
3,mask_original,65536,65536,57300,1048576,262144
4,mask_original,65536,65536,56900,1048576,262144
4,packet_prepare,65536,65536,54300,1048576,1048576
5,packet_prepare,65536,65536,56400,1048576,1048576
5,mask_original,65536,65536,56800,1048576,262144
6,mask_original,65536,65536,65700,1048576,262144
6,packet_prepare,65536,65536,62600,1048576,1048576
7,packet_prepare,65536,65536,55800,1048576,1048576
7,mask_original,65536,65536,57400,1048576,262144
8,mask_original,65536,65536,57000,1048576,262144
8,packet_prepare,65536,65536,55400,1048576,1048576
9,packet_prepare,65536,65536,54800,1048576,1048576
9,mask_original,65536,65536,56900,1048576,262144
10,mask_original,65536,65536,57300,1048576,262144
10,packet_prepare,65536,65536,58300,1048576,1048576
11,packet_prepare,65536,65536,55500,1048576,1048576
11,mask_original,65536,65536,57400,1048576,262144
12,mask_original,65536,65536,57000,1048576,262144
12,packet_prepare,65536,65536,58000,1048576,1048576
13,packet_prepare,65536,65536,56100,1048576,1048576
13,mask_original,65536,65536,57400,1048576,262144
14,mask_original,65536,65536,57300,1048576,262144
14,packet_prepare,65536,65536,58200,1048576,1048576
15,packet_prepare,65536,65536,55200,1048576,1048576
15,mask_original,65536,65536,57300,1048576,262144
16,mask_original,65536,65536,57400,1048576,262144
16,packet_prepare,65536,65536,57300,1048576,1048576
17,packet_prepare,65536,65536,55200,1048576,1048576
17,mask_original,65536,65536,57400,1048576,262144
18,mask_original,65536,65536,57500,1048576,262144
18,packet_prepare,65536,65536,58000,1048576,1048576
19,packet_prepare,65536,65536,55400,1048576,1048576
19,mask_original,65536,65536,57300,1048576,262144
