elapsed_ms,frame,scene,event,ms
3172.7913,1,18,"Scene switch",2400.8877
3185.6091,1,18,"RenderPath3D Update",11.9907
3185.624,1,18,"Application Update",2413.8146
3207.5305,1,18,"Application Render",21.9031
3208.4265,1,18,"Application Compose",0.1587
3222.843,1,18,"SubmitCommandLists",14.4065
3223.3412,1,18,"CPU Frame",0
3231.8364,2,18,"RenderPath3D Update",4.9625
3231.8532,2,18,"Application Update",5.9396
3244.6805,2,18,"Application Render",12.8239
3245.8735,2,18,"Application Compose",0.3169
3260.1402,2,18,"SubmitCommandLists",14.2425
3268.2742,2,18,"Shadowmap packing",0.000600000028
3268.2815,2,18,"Render",12.823
3268.2836,2,18,"Procedural Animations",0.00120000006
3268.2863,2,18,"Script Components",0.000199999995
3268.2886,2,18,"CPU Frame",22.5627995
3268.2904,2,18,"Input",0.119900003
3268.2925,2,18,"GUI Update",0.0395999998
3268.2946,2,18,"Frustum Culling",1.27719998
3268.2964,2,18,"Animations",9.99999975e-05
3268.2985,2,18,"Spring Dependencies",0.00079999998
3268.3004,2,18,"GUI Render",0.209299996
3268.3021,2,18,"Physics",0.00710000005
3268.3039,2,18,"Update",5.93930006
3268.3055,2,18,"Fixed Update",0.00630000001
3268.3072,2,18,"Spline Update",0.000199999995
3268.3089,2,18,"Compose",0.315899998
3268.3105,2,18,"Update Buffers (CPU)",0.132499993
3274.0724,3,18,"RenderPath3D Update",4.6441
3274.1082,3,18,"Application Update",5.6759
3290.7397,3,18,"Application Render",16.6285
3291.3469,3,18,"Application Compose",0.5166
3297.5113,3,18,"SubmitCommandLists",6.1499
3297.5412,3,18,"Shadowmap packing",0.000699999975
3297.5443,3,18,"Render",16.6278
3297.5465,3,18,"Procedural Animations",0.00120000006
3297.5488,3,18,"Script Components",9.99999975e-05
3297.5515,3,18,"CPU Frame",23.0962009
3297.5534,3,18,"Input",0.111699998
3297.5555,3,18,"GUI Update",0.0296
3297.5575,3,18,"Frustum Culling",1.18350005
3297.5595,3,18,"Animations",0.000199999995
3297.5612,3,18,"Spring Dependencies",0.000199999995
3297.5632,3,18,"GUI Render",0.139300004
3297.5649,3,18,"Physics",0.00730000017
3297.5668,3,18,"Update",5.67570019
3297.5686,3,18,"Fixed Update",0.00419999985
3297.5705,3,18,"Spline Update",0.000199999995
3297.5724,3,18,"Compose",0.515699983
3297.5742,3,18,"Update Buffers (CPU)",0.26030001
3303.6804,4,18,"RenderPath3D Update",4.8168
3303.7079,4,18,"Application Update",5.9656
3313.4338,4,18,"Application Render",9.7228
3313.9341,4,18,"Application Compose",0.4354
3326.9772,4,18,"SubmitCommandLists",13.0312
3328.7377,4,18,"Shadowmap packing",0.000300000014
3328.7459,4,18,"Render",9.72210026
3328.748,4,18,"Procedural Animations",0.0013
3328.7504,4,18,"Script Components",0.000300000014
3328.7528,4,18,"CPU Frame",16.4169006
