elapsed_ms,frame,scene,event,ms
2936.0531,1,18,"Scene switch",2472.6153
2946.355,1,18,"SetVSync",10.2862
2959.4926,1,18,"RenderPath3D Update",12.2865
2959.5165,1,18,"Application Update",2496.145
2976.1581,1,18,"Application Render",16.6373
2977.0796,1,18,"Application Compose",0.1945
2986.0913,1,18,"SubmitCommandLists",9.0005
2986.4854,1,18,"CPU Frame",0
3004.6344,2,18,"SetVSync",15.8878
3010.4578,2,18,"RenderPath3D Update",4.8555
3010.4724,2,18,"Application Update",21.7505
3026.8549,2,18,"Application Render",16.379
3028.1217,2,18,"Application Compose",0.3163
3036.1931,2,18,"SubmitCommandLists",8.0384
3044.3462,2,18,"Shadowmap packing",0.000600000028
3044.3534,2,18,"Render",16.3782005
3044.3555,2,18,"Procedural Animations",0.00120000006
3044.3579,2,18,"Script Components",9.99999975e-05
3044.3607,2,18,"CPU Frame",41.6615982
3044.3628,2,18,"Input",0.121799998
3044.365,2,18,"GUI Update",0.0351000018
3044.3671,2,18,"Frustum Culling",1.16530001
3044.369,2,18,"Animations",9.99999975e-05
3044.3708,2,18,"Spring Dependencies",0.000199999995
3044.373,2,18,"GUI Render",0.125400007
3044.3754,2,18,"Physics",0.00829999987
3044.3771,2,18,"Update",21.7502003
3044.379,2,18,"Fixed Update",0.00630000001
3044.3809,2,18,"Spline Update",0.000199999995
3044.3827,2,18,"Compose",0.315200001
3044.3907,2,18,"Update Buffers (CPU)",0.0769999996
3059.5042,3,18,"SetVSync",14.6184
3065.0584,3,18,"RenderPath3D Update",4.6874
3065.0733,3,18,"Application Update",20.2496
3080.9977,3,18,"Application Render",15.9209
3081.5467,3,18,"Application Compose",0.4616
3082.6178,3,18,"SubmitCommandLists",1.0588
3083.5373,3,18,"Shadowmap packing",0.000699999975
3083.5461,3,18,"Render",15.9195004
3083.5484,3,18,"Procedural Animations",0.00100000005
3083.5507,3,18,"Script Components",0.000199999995
3083.553,3,18,"CPU Frame",37.2434006
3083.5549,3,18,"Input",0.358900011
3083.5572,3,18,"GUI Update",0.0342999995
3083.5591,3,18,"Frustum Culling",1.35739994
3083.561,3,18,"Animations",0.000500000024
3083.5628,3,18,"Spring Dependencies",0.00039999999
3083.565,3,18,"GUI Render",0.0786999986
3083.5668,3,18,"Physics",0.00949999969
3083.5685,3,18,"Update",20.2493
3083.5702,3,18,"Fixed Update",0.0439000018
3083.5731,3,18,"Spline Update",0.000600000028
3083.5751,3,18,"Compose",0.460900009
3083.577,3,18,"Update Buffers (CPU)",0.210999995
3112.5331,4,18,"SetVSync",28.7832
3118.1948,4,18,"RenderPath3D Update",4.8016
3118.2138,4,18,"Application Update",34.4831
3128.5927,4,18,"Application Render",10.3754
3129.0699,4,18,"Application Compose",0.3998
3130.2435,4,18,"SubmitCommandLists",1.1621
3130.2779,4,18,"Shadowmap packing",0.000199999995
3130.281,4,18,"Render",10.3745003
3130.2832,4,18,"Procedural Animations",0.00109999999
