elapsed_ms,frame,scene,event,ms
2967.9387,1,1,"Scene switch",2044.6814
2994.7819,1,1,"RenderPath3D Update",4.9399
2994.8419,1,1,"Application Update",2071.7107
3013.7809,1,1,"Application Render",18.9304
3014.6477,1,1,"Application Compose",0.457
3020.7073,1,1,"SubmitCommandLists",6.0346
3022.1975,1,1,"CPU Frame",0
3047.7604,2,1,"RenderPath3D Update",0.425
3047.7723,2,1,"Application Update",18.895
3052.6013,2,1,"Application Render",4.824
3054.8803,2,1,"Application Compose",0.8068
3059.9005,2,1,"SubmitCommandLists",4.9153
3073.2015,2,1,"Shadowmap packing",0.000500000024
3073.2694,2,1,"Render",4.82329988
3073.2726,2,1,"Procedural Animations",0.00230000005
3073.2764,2,1,"Script Components",0.00150000001
3073.2817,2,1,"CPU Frame",32.8282013
3073.2843,2,1,"Input",0.750199974
3073.2894,2,1,"GUI Update",0.1197
3073.2927,2,1,"Frustum Culling",0.0388999991
3073.2949,2,1,"Animations",0
3073.2981,2,1,"Spring Dependencies",0.000600000028
3073.3027,2,1,"GUI Render",0.149299994
3073.3053,2,1,"Physics",0.0220999997
3073.3091,2,1,"Update",18.8943005
3073.3114,2,1,"Fixed Update",0.0103000002
3073.3145,2,1,"Spline Update",0.00159999996
3073.3171,2,1,"Compose",0.8046
3073.3197,2,1,"Update Buffers (CPU)",0.148699999
3093.486,3,1,"RenderPath3D Update",0.3847
3093.4995,3,1,"Application Update",19.6454
3095.5906,3,1,"Application Render",2.0866
3096.451,3,1,"Application Compose",0.7718
3100.0527,3,1,"SubmitCommandLists",3.566
3100.1573,3,1,"Shadowmap packing",0.000300000014
3100.1641,3,1,"Render",2.08590007
3100.1684,3,1,"Procedural Animations",0.00289999996
3100.1733,3,1,"Script Components",0.000899999985
3100.1785,3,1,"CPU Frame",23.4001007
3100.1833,3,1,"Input",0.4375
3100.1882,3,1,"GUI Update",0.125
3100.192,3,1,"Frustum Culling",0.0507000014
3100.196,3,1,"Animations",0.000699999975
3100.1998,3,1,"Spring Dependencies",0.000300000014
3100.2038,3,1,"GUI Render",0.124399997
3100.2076,3,1,"Physics",0.0254999995
3100.2113,3,1,"Update",19.6445007
3100.2147,3,1,"Fixed Update",0.0129000004
3100.2193,3,1,"Spline Update",0.000699999975
3100.2228,3,1,"Compose",0.770900011
3100.2267,3,1,"Update Buffers (CPU)",0.246800005
3127.9168,4,1,"RenderPath3D Update",0.3798
3127.9384,4,1,"Application Update",27.4243
3128.6523,4,1,"Application Render",0.7091
3129.429,4,1,"Application Compose",0.7294
3134.5905,4,1,"SubmitCommandLists",5.1342
3134.7528,4,1,"Shadowmap packing",0.00150000001
3134.7588,4,1,"Render",0.708500028
3134.7628,4,1,"Procedural Animations",0.00190000003
3134.7672,4,1,"Script Components",0.000300000014
3134.7724,4,1,"CPU Frame",29.3442001
3134.7764,4,1,"Input",0.234099999
3134.7815,4,1,"GUI Update",0.0456000008
3134.7867,4,1,"Frustum Culling",0.107100002
3134.7905,4,1,"Animations",9.99999975e-05
3134.7949,4,1,"Spring Dependencies",0.000300000014
3134.7994,4,1,"GUI Render",0.154499993
3134.8028,4,1,"Physics",0.00960000046
3134.8062,4,1,"Update",27.4237995
3134.8095,4,1,"Fixed Update",0.00689999992
3134.813,4,1,"Spline Update",0.000300000014
3134.8165,4,1,"Compose",0.728799999
3134.8206,4,1,"Update Buffers (CPU)",0.0970000029
3160.4218,5,1,"RenderPath3D Update",0.5349
3160.4595,5,1,"Application Update",25.3202
3161.4844,5,1,"Application Render",1.0207
3161.9551,5,1,"Application Compose",0.4267
3164.4778,5,1,"SubmitCommandLists",2.5081
3164.5555,5,1,"Shadowmap packing",0.00179999997
3164.5613,5,1,"Render",1.01839995
3164.565,5,1,"Procedural Animations",0.00789999962
3164.5699,5,1,"Script Components",0.000699999975
3164.5752,5,1,"CPU Frame",27.2943001
3164.5788,5,1,"Input",0.238800004
3164.5835,5,1,"GUI Update",0.0724999979
3164.5871,5,1,"Frustum Culling",0.1382
3164.5908,5,1,"Animations",0.00039999999
3164.5991,5,1,"Spring Dependencies",0.00039999999
3164.603,5,1,"GUI Render",0.0925000012
3164.6064,5,1,"Physics",0.0303000007
3164.611,5,1,"Update",25.3192005
3164.6145,5,1,"Fixed Update",0.0131999999
3164.6186,5,1,"Spline Update",0.000899999985
3164.6226,5,1,"Compose",0.426299989
3164.6259,5,1,"Update Buffers (CPU)",0.169400007
3189.6527,6,1,"RenderPath3D Update",0.2227
3189.6609,6,1,"Application Update",24.7415
3190.1912,6,1,"Application Render",0.5275
3191.0973,6,1,"Application Compose",0.6302
3194.0572,6,1,"SubmitCommandLists",2.9332
3194.1251,6,1,"Shadowmap packing",0.000199999995
3194.132,6,1,"Render",0.52700001
3194.1353,6,1,"Procedural Animations",0.00139999995
3194.14,6,1,"Script Components",0.000300000014
3194.1433,6,1,"CPU Frame",26.5970993
3194.1462,6,1,"Input",0.231800005
3194.1501,6,1,"GUI Update",0.0403000005
3194.1533,6,1,"Frustum Culling",0.0568999983
3194.156,6,1,"Animations",0.000199999995
3194.1591,6,1,"Spring Dependencies",0.00039999999
3194.1629,6,1,"GUI Render",0.0445000008
3194.1661,6,1,"Physics",0.00639999984
3194.1694,6,1,"Update",24.7411003
3194.1723,6,1,"Fixed Update",0.00789999962
3194.1754,6,1,"Spline Update",0.000199999995
3194.1786,6,1,"Compose",0.629400015
3194.1812,6,1,"Update Buffers (CPU)",0.0935000032
3221.3518,7,1,"RenderPath3D Update",0.316
3221.3679,7,1,"Application Update",26.9933
3221.8005,7,1,"Application Render",0.4279
3222.4518,7,1,"Application Compose",0.6213
3224.609,7,1,"SubmitCommandLists",2.1396
3224.6462,7,1,"Shadowmap packing",0.000300000014
3224.65,7,1,"Render",0.42750001
3224.6521,7,1,"Procedural Animations",0.00209999993
3224.6547,7,1,"Script Components",0.000300000014
3224.657,7,1,"CPU Frame",28.3670006
3224.6591,7,1,"Input",0.144400001
3224.6618,7,1,"GUI Update",0.0540000014
3224.6637,7,1,"Frustum Culling",0.0487999991
3224.6655,7,1,"Animations",9.99999975e-05
3224.668,7,1,"Spring Dependencies",0.00039999999
3224.6701,7,1,"GUI Render",0.0825000033
3224.6721,7,1,"Physics",0.00680000009
3224.674,7,1,"Update",26.9927998
3224.6757,7,1,"Fixed Update",0.00889999978
3224.6777,7,1,"Spline Update",0.000300000014
3224.6795,7,1,"Compose",0.620899975
3224.6814,7,1,"Update Buffers (CPU)",0.104000002
3252.268,8,1,"RenderPath3D Update",0.3105
3252.2841,8,1,"Application Update",27.3594
3252.9267,8,1,"Application Render",0.6382
3253.6118,8,1,"Application Compose",0.6555
3255.9452,8,1,"SubmitCommandLists",2.3143
3256.0641,8,1,"Shadowmap packing",0.000300000014
3256.0719,8,1,"Render",0.636900008
3256.0754,8,1,"Procedural Animations",0.00170000002
3256.081,8,1,"Script Components",0.00039999999
3256.1003,8,1,"CPU Frame",28.9953003
3256.1042,8,1,"Input",0.175500005
3256.1096,8,1,"GUI Update",0.0487000011
3256.1136,8,1,"Frustum Culling",0.0634000003
3256.1178,8,1,"Animations",0.00039999999
3256.1213,8,1,"Spring Dependencies",0.000199999995
3256.126,8,1,"GUI Render",0.0681999996
3256.1298,8,1,"Physics",0.0104
3256.1342,8,1,"Update",27.3589993
3256.1386,8,1,"Fixed Update",0.0124000004
3256.142,8,1,"Spline Update",0.000300000014
3256.1455,8,1,"Compose",0.655099988
3256.1501,8,1,"Update Buffers (CPU)",0.0973000005
3283.0329,9,1,"RenderPath3D Update",0.3089
3283.0486,9,1,"Application Update",26.5193
3283.9886,9,1,"Application Render",0.9356
3284.5583,9,1,"Application Compose",0.5051
3287.2669,9,1,"SubmitCommandLists",2.6905
3287.3618,9,1,"Shadowmap packing",0.000699999975
3287.3683,9,1,"Render",0.935000002
3287.3705,9,1,"Procedural Animations",0.00289999996
3287.3732,9,1,"Script Components",0.000500000024
3287.3758,9,1,"CPU Frame",28.5694008
3287.3782,9,1,"Input",0.297399998
3287.381,9,1,"GUI Update",0.0698999986
3287.3831,9,1,"Frustum Culling",0.0756999999
3287.3853,9,1,"Animations",0.000199999995
3287.3872,9,1,"Spring Dependencies",0.000699999975
3287.3896,9,1,"GUI Render",0.0714000016
3287.3913,9,1,"Physics",0.0125000002
3287.3935,9,1,"Update",26.5188007
3287.3951,9,1,"Fixed Update",0.0153999999
3287.3973,9,1,"Spline Update",0.00079999998
3287.3991,9,1,"Compose",0.504800022
3287.4009,9,1,"Update Buffers (CPU)",0.203199998
3319.3037,10,1,"RenderPath3D Update",0.6157
3319.3325,10,1,"Application Update",31.7524
3320.142,10,1,"Application Render",0.8059
3320.6603,10,1,"Application Compose",0.4838
3321.9978,10,1,"SubmitCommandLists",1.3156
3322.0563,10,1,"Shadowmap packing",0.000899999985
3322.0607,10,1,"Render",0.805499971
3322.0627,10,1,"Procedural Animations",0.00389999989
3322.0654,10,1,"Script Components",0.00150000001
3322.0678,10,1,"CPU Frame",33.3381004
3322.07,10,1,"Input",0.145600006
3322.0726,10,1,"GUI Update",0.116599999
3322.0745,10,1,"Frustum Culling",0.0623000003
3322.1701,10,1,"Animations",0.000899999985
3322.1723,10,1,"Spring Dependencies",0.0013
3322.1746,10,1,"GUI Render",0.185000002
3322.1764,10,1,"Physics",0.180399999
3322.1787,10,1,"Update",31.7516994
3322.1805,10,1,"Fixed Update",0.00639999984
3322.1825,10,1,"Spline Update",0.000899999985
3322.1943,10,1,"Compose",0.4833
3322.1963,10,1,"Update Buffers (CPU)",0.185299993
3348.5835,11,1,"RenderPath3D Update",0.4243
3348.5968,11,1,"Application Update",26.1185
3349.3858,11,1,"Application Render",0.7843
3350.1412,11,1,"Application Compose",0.682
3351.4762,11,1,"SubmitCommandLists",1.3143
3351.5327,11,1,"Shadowmap packing",0.000899999985
3351.5389,11,1,"Render",0.783699989
3351.5424,11,1,"Procedural Animations",0.00340000005
3351.5468,11,1,"Script Components",0.00120000006
3351.5515,11,1,"CPU Frame",28.1165009
3351.5555,11,1,"Input",0.253300011
3351.5602,11,1,"GUI Update",0.158299997
3351.5643,11,1,"Frustum Culling",0.0549000017
3351.5683,11,1,"Animations",0.000600000028
3351.572,11,1,"Spring Dependencies",0.000699999975
3351.5762,11,1,"GUI Render",0.126499996
3351.5796,11,1,"Physics",0.0178999994
3351.5833,11,1,"Update",26.1180992
3351.5867,11,1,"Fixed Update",0.00609999988
3351.5903,11,1,"Spline Update",0.000699999975
3351.5936,11,1,"Compose",0.681400001
3351.5972,11,1,"Update Buffers (CPU)",0.158500001
3371.0398,12,1,"RenderPath3D Update",0.2071
3371.0481,12,1,"Application Update",19.1133
3371.5511,12,1,"Application Render",0.5001
3371.9886,12,1,"Application Compose",0.4142
3373.2757,12,1,"SubmitCommandLists",1.2696
3373.3283,12,1,"Shadowmap packing",0.000199999995
3373.3324,12,1,"Render",0.499799997
3373.335,12,1,"Procedural Animations",0.00159999996
3373.3376,12,1,"Script Components",0.000300000014
3373.3402,12,1,"CPU Frame",20.4958992
3373.3426,12,1,"Input",0.274599999
3373.3458,12,1,"GUI Update",0.0395999998
3373.3476,12,1,"Frustum Culling",0.0447000004
3373.3503,12,1,"Animations",9.99999975e-05
3373.3527,12,1,"Spring Dependencies",0.000300000014
3373.3548,12,1,"GUI Render",0.137799993
3373.3565,12,1,"Physics",0.00769999996
3373.3589,12,1,"Update",19.1126003
3373.3607,12,1,"Fixed Update",0.0177999996
3373.3625,12,1,"Spline Update",0.000199999995
3373.3646,12,1,"Compose",0.413599998
3373.3664,12,1,"Update Buffers (CPU)",0.0821999982
3394.1812,13,1,"RenderPath3D Update",0.4254
3394.212,13,1,"Application Update",20.6322
3395.0861,13,1,"Application Render",0.868
3395.7391,13,1,"Application Compose",0.6132
3397.0723,13,1,"SubmitCommandLists",1.3156
3397.1471,13,1,"Shadowmap packing",0.00170000002
3397.1508,13,1,"Render",0.866299987
3397.1529,13,1,"Procedural Animations",0.00410000002
3397.1556,13,1,"Script Components",0.00150000001
3397.1582,13,1,"CPU Frame",22.4442005
3397.1601,13,1,"Input",0.187700003
3397.1626,13,1,"GUI Update",0.0771000013
3397.1646,13,1,"Frustum Culling",0.061999999
3397.1666,13,1,"Animations",0.000300000014
3397.1685,13,1,"Spring Dependencies",0.00079999998
3397.1711,13,1,"GUI Render",0.0709000006
3397.1729,13,1,"Physics",0.0233999994
3397.1753,13,1,"Update",20.6313
3397.1772,13,1,"Fixed Update",0.00829999987
3397.179,13,1,"Spline Update",0.00170000002
3397.1809,13,1,"Compose",0.612600029
3397.1827,13,1,"Update Buffers (CPU)",0.146599993
3416.7299,14,1,"RenderPath3D Update",0.2601
3416.7426,14,1,"Application Update",19.4031
3417.1625,14,1,"Application Render",0.4116
3417.6071,14,1,"Application Compose",0.4187
3418.5582,14,1,"SubmitCommandLists",0.9417
3418.6057,14,1,"Shadowmap packing",0.00039999999
3418.6093,14,1,"Render",0.411199987
3418.6112,14,1,"Procedural Animations",0.0013
3418.6138,14,1,"Script Components",0.00039999999
3418.6163,14,1,"CPU Frame",20.4923
3418.6184,14,1,"Input",0.133300006
3418.6213,14,1,"GUI Update",0.0408000015
3418.6233,14,1,"Frustum Culling",0.0584999993
3418.6256,14,1,"Animations",9.99999975e-05
3418.6279,14,1,"Spring Dependencies",0.000300000014
3418.6301,14,1,"GUI Render",0.0640999973
3418.632,14,1,"Physics",0.00689999992
3418.634,14,1,"Update",19.4027004
3418.636,14,1,"Fixed Update",0.00620000018
3418.6378,14,1,"Spline Update",0.00039999999
3418.6846,14,1,"Compose",0.418500006
3418.6867,14,1,"Update Buffers (CPU)",0.0927999988
3438.1068,15,1,"RenderPath3D Update",0.3315
3438.1193,15,1,"Application Update",19.2651
3438.6706,15,1,"Application Render",0.5482
3439.1098,15,1,"Application Compose",0.4112
