elapsed_ms,frame,scene,event,ms
2732.069,1,1,"Scene switch",1713.1001
2735.5562,1,1,"RenderPath3D Update",3.4441
2735.5796,1,1,"Application Update",1716.6761
2741.7621,1,1,"Application Render",6.1785
2742.283,1,1,"Application Compose",0.2712
2747.6284,1,1,"SubmitCommandLists",5.326
2748.3612,1,1,"CPU Frame",0
2752.0079,2,1,"RenderPath3D Update",0.2119
2752.0156,2,1,"Application Update",0.2478
2753.7894,2,1,"Application Render",1.7703
2754.6062,2,1,"Application Compose",0.2928
2757.6947,2,1,"SubmitCommandLists",3.0623
2768.7137,2,1,"Shadowmap packing",0.000199999995
2768.7409,2,1,"Render",1.76999998
2768.7431,2,1,"Procedural Animations",0.00120000006
2768.7455,2,1,"Script Components",0.000199999995
2768.7479,2,1,"CPU Frame",6.38019991
2768.75,2,1,"Input",0.139200002
2768.7532,2,1,"GUI Update",0.0331999995
2768.7554,2,1,"Frustum Culling",0.0469999984
2768.7575,2,1,"Animations",0
2768.7601,2,1,"Spring Dependencies",0.000199999995
2768.7632,2,1,"GUI Render",0.149900004
2768.7653,2,1,"Physics",0.0092000002
2768.7673,2,1,"Update",0.247500002
2768.769,2,1,"Fixed Update",0.00639999984
2768.7709,2,1,"Spline Update",0.000199999995
2768.7727,2,1,"Compose",0.291999996
2768.7746,2,1,"Update Buffers (CPU)",0.128399998
2769.3728,3,1,"RenderPath3D Update",0.2852
2769.3779,3,1,"Application Update",0.3465
2770.858,3,1,"Application Render",1.4764
2771.4062,3,1,"Application Compose",0.4623
2773.0697,3,1,"SubmitCommandLists",1.6522
2773.7438,3,1,"Shadowmap packing",0.000300000014
2773.7549,3,1,"Render",1.47570002
2773.7591,3,1,"Procedural Animations",0.00310000009
2773.7631,3,1,"Script Components",0.000199999995
2773.7669,3,1,"CPU Frame",2.76349998
2773.769,3,1,"Input",0.210999995
2773.772,3,1,"GUI Update",0.0414000005
2773.7739,3,1,"Frustum Culling",0.0403000005
2773.7758,3,1,"Animations",9.99999975e-05
2773.7782,3,1,"Spring Dependencies",0.000899999985
2773.7812,3,1,"GUI Render",0.159899995
2773.7842,3,1,"Physics",0.0126999998
2773.7871,3,1,"Update",0.345800012
2773.7898,3,1,"Fixed Update",0.0121999998
2773.794,3,1,"Spline Update",0.00120000006
2773.7968,3,1,"Compose",0.461699992
2773.7993,3,1,"Update Buffers (CPU)",0.206799999
2774.2203,4,1,"RenderPath3D Update",0.172
2774.2272,4,1,"Application Update",0.2133
2774.6196,4,1,"Application Render",0.3889
2775.0659,4,1,"Application Compose",0.4233
2777.1453,4,1,"SubmitCommandLists",2.0693
2777.1829,4,1,"Shadowmap packing",0.000199999995
2777.186,4,1,"Render",0.388399988
2777.1881,4,1,"Procedural Animations",0.00200000009
2777.1903,4,1,"Script Components",0.000199999995
2777.1929,4,1,"CPU Frame",1.34969997
2777.1948,4,1,"Input",0.202800006
2777.1971,4,1,"GUI Update",0.0298999995
2777.1991,4,1,"Frustum Culling",0.058600001
2777.2011,4,1,"Animations",9.99999975e-05
2777.2034,4,1,"Spring Dependencies",0.00100000005
2777.2059,4,1,"GUI Render",0.0956000015
2777.2078,4,1,"Physics",0.00109999999
2777.2097,4,1,"Update",0.213200003
2777.2115,4,1,"Fixed Update",9.99999975e-05
2777.2133,4,1,"Spline Update",0.000300000014
2777.2153,4,1,"Compose",0.423000008
2777.217,4,1,"Update Buffers (CPU)",0.0786999986
2777.5599,5,1,"RenderPath3D Update",0.1765
2777.5637,5,1,"Application Update",0.2056
2777.9893,5,1,"Application Render",0.4235
2778.422,5,1,"Application Compose",0.4089
2782.1556,5,1,"SubmitCommandLists",3.7243
2782.2255,5,1,"Shadowmap packing",0.000300000014
2782.2288,5,1,"Render",0.423200011
2782.2313,5,1,"Procedural Animations",0.000899999985
2782.2334,5,1,"Script Components",0.000199999995
2782.2361,5,1,"CPU Frame",1.26310003
2782.2381,5,1,"Input",0.131400004
2782.241,5,1,"GUI Update",0.0241
2782.2436,5,1,"Frustum Culling",0.0447999984
2782.2458,5,1,"Animations",9.99999975e-05
2782.2481,5,1,"Spring Dependencies",0.000300000014
2782.2502,5,1,"GUI Render",0.0507999994
2782.2521,5,1,"Physics",0.00120000006
2782.2539,5,1,"Update",0.205400005
2782.2557,5,1,"Fixed Update",0
2782.2579,5,1,"Spline Update",0.000199999995
2782.2598,5,1,"Compose",0.408600003
2782.2617,5,1,"Update Buffers (CPU)",0.0926999971
2782.5854,6,1,"RenderPath3D Update",0.1556
2782.59,6,1,"Application Update",0.182
2783,6,1,"Application Render",0.4076
2783.6038,6,1,"Application Compose",0.4212
2785.8822,6,1,"SubmitCommandLists",2.268
2785.9111,6,1,"Shadowmap packing",0.000199999995
2785.9139,6,1,"Render",0.407299995
2785.9157,6,1,"Procedural Animations",0.00120000006
2785.9181,6,1,"Script Components",9.99999975e-05
2785.9209,6,1,"CPU Frame",1.41240001
2785.9229,6,1,"Input",0.1294
2785.925,6,1,"GUI Update",0.0255999994
2785.9272,6,1,"Frustum Culling",0.0458999984
2785.929,6,1,"Animations",9.99999975e-05
2785.9308,6,1,"Spring Dependencies",0.000199999995
2785.9329,6,1,"GUI Render",0.0544000007
2785.9347,6,1,"Physics",0.00590000022
2785.9365,6,1,"Update",0.181799993
2785.9386,6,1,"Fixed Update",0.00430000015
2785.9404,6,1,"Spline Update",0.000199999995
2785.9422,6,1,"Compose",0.4208
2785.9441,6,1,"Update Buffers (CPU)",0.0755999982
2786.29,7,1,"RenderPath3D Update",0.1689
2786.2952,7,1,"Application Update",0.2053
2786.6545,7,1,"Application Render",0.3569
2787.0877,7,1,"Application Compose",0.4095
2790.5713,7,1,"SubmitCommandLists",3.4741
2790.6088,7,1,"Shadowmap packing",0.000199999995
2790.6118,7,1,"Render",0.356700003
2790.6138,7,1,"Procedural Animations",0.00109999999
2790.6161,7,1,"Script Components",9.99999975e-05
2790.619,7,1,"CPU Frame",1.19780004
2790.621,7,1,"Input",0.138500005
2790.6234,7,1,"GUI Update",0.0245999992
2790.6254,7,1,"Frustum Culling",0.0566000007
2790.6273,7,1,"Animations",0
2790.6293,7,1,"Spring Dependencies",9.99999975e-05
2790.6316,7,1,"GUI Render",0.0483999997
2790.6333,7,1,"Physics",0.000699999975
2790.6351,7,1,"Update",0.2051
2790.6369,7,1,"Fixed Update",9.99999975e-05
2790.6387,7,1,"Spline Update",0.000199999995
2790.6405,7,1,"Compose",0.409299999
2790.6423,7,1,"Update Buffers (CPU)",0.0599999987
2790.9961,8,1,"RenderPath3D Update",0.1944
2791.0005,8,1,"Application Update",0.224
2791.3776,8,1,"Application Render",0.3749
2791.9591,8,1,"Application Compose",0.5572
2795.4254,8,1,"SubmitCommandLists",3.4491
2795.4802,8,1,"Shadowmap packing",0.000199999995
2795.4842,8,1,"Render",0.374599993
2795.4866,8,1,"Procedural Animations",0.00150000001
2795.4889,8,1,"Script Components",0.000199999995
2795.4914,8,1,"CPU Frame",1.38339996
2795.4933,8,1,"Input",0.122599997
2795.496,8,1,"GUI Update",0.0239000004
2795.4981,8,1,"Frustum Culling",0.0450000018
2795.5001,8,1,"Animations",9.99999975e-05
2795.5026,8,1,"Spring Dependencies",0.000199999995
2795.505,8,1,"GUI Render",0.058600001
2795.5069,8,1,"Physics",0.00139999995
2795.5087,8,1,"Update",0.223800004
2795.5105,8,1,"Fixed Update",0
2795.5124,8,1,"Spline Update",9.99999975e-05
2795.5144,8,1,"Compose",0.556900024
2795.5163,8,1,"Update Buffers (CPU)",0.0797000006
2796.049,9,1,"RenderPath3D Update",0.2586
2796.0551,9,1,"Application Update",0.2935
2796.4426,9,1,"Application Render",0.3851
2796.9952,9,1,"Application Compose",0.5194
2800.1358,9,1,"SubmitCommandLists",3.1286
2800.1873,9,1,"Shadowmap packing",0.00039999999
2800.1922,9,1,"Render",0.384799987
2800.1956,9,1,"Procedural Animations",0.0013
2800.1994,9,1,"Script Components",0.000199999995
2800.2032,9,1,"CPU Frame",1.55320001
2800.2064,9,1,"Input",0.232899994
2800.2099,9,1,"GUI Update",0.0287999995
2800.2131,9,1,"Frustum Culling",0.0632999986
2800.2164,9,1,"Animations",9.99999975e-05
2800.22,9,1,"Spring Dependencies",0.000500000024
2800.2239,9,1,"GUI Render",0.0773999989
2800.2273,9,1,"Physics",0.00120000006
2800.2304,9,1,"Update",0.293199986
2800.2337,9,1,"Fixed Update",9.99999975e-05
2800.2363,9,1,"Spline Update",0.00039999999
2800.2389,9,1,"Compose",0.51910001
2800.2416,9,1,"Update Buffers (CPU)",0.0904999971
2800.796,10,1,"RenderPath3D Update",0.3181
2800.8085,10,1,"Application Update",0.3626
2801.4201,10,1,"Application Render",0.6076
2802.0898,10,1,"Application Compose",0.6326
2804.6262,10,1,"SubmitCommandLists",2.5151
2804.6922,10,1,"Shadowmap packing",0.00039999999
2804.697,10,1,"Render",0.607200027
2804.7003,10,1,"Procedural Animations",0.00120000006
2804.7037,10,1,"Script Components",0.000199999995
2804.7072,10,1,"CPU Frame",1.94430006
2804.7106,10,1,"Input",0.185299993
2804.7138,10,1,"GUI Update",0.0362999998
2804.7166,10,1,"Frustum Culling",0.129600003
2804.8642,10,1,"Animations",9.99999975e-05
2804.8688,10,1,"Spring Dependencies",0.000600000028
2804.8736,10,1,"GUI Render",0.0763999969
2804.8769,10,1,"Physics",0.00719999988
2804.8807,10,1,"Update",0.362300009
2804.8847,10,1,"Fixed Update",0.00669999979
2804.8882,10,1,"Spline Update",0.000500000024
2804.8917,10,1,"Compose",0.632300019
2804.8953,10,1,"Update Buffers (CPU)",0.121600002
2805.5213,11,1,"RenderPath3D Update",0.3154
2805.5306,11,1,"Application Update",0.3822
2806.1299,11,1,"Application Render",0.5955
2806.5823,11,1,"Application Compose",0.4197
2809.9909,11,1,"SubmitCommandLists",3.397
2810.1339,11,1,"Shadowmap packing",0.000300000014
2810.1401,11,1,"Render",0.595000029
2810.1436,11,1,"Procedural Animations",0.00209999993
2810.1463,11,1,"Script Components",0.000300000014
2810.1508,11,1,"CPU Frame",1.93599999
2810.1532,11,1,"Input",0.230700001
2810.1575,11,1,"GUI Update",0.0498999991
2810.1598,11,1,"Frustum Culling",0.0584999993
2810.1617,11,1,"Animations",9.99999975e-05
2810.1644,11,1,"Spring Dependencies",0.000300000014
2810.1678,11,1,"GUI Render",0.067900002
2810.1696,11,1,"Physics",0.00139999995
2810.1717,11,1,"Update",0.381500006
2810.1744,11,1,"Fixed Update",9.99999975e-05
2810.1762,11,1,"Spline Update",0.000600000028
2810.178,11,1,"Compose",0.41929999
2810.1805,11,1,"Update Buffers (CPU)",0.136299998
2810.8166,12,1,"RenderPath3D Update",0.2923
2810.8221,12,1,"Application Update",0.3835
2811.7114,12,1,"Application Render",0.8869
2812.5511,12,1,"Application Compose",0.7168
2816.8831,12,1,"SubmitCommandLists",4.3032
2816.9699,12,1,"Shadowmap packing",0.00120000006
2816.9762,12,1,"Render",0.886500001
2816.9802,12,1,"Procedural Animations",0.0046000001
2816.9849,12,1,"Script Components",0.000600000028
2816.9891,12,1,"CPU Frame",2.52749991
