elapsed_ms,frame,scene,event,ms
614.627,1,1,"Scene switch",89.3627
618.7922,1,1,"RenderPath3D Update",4.068
618.8217,1,1,"Application Update",93.6565
628.0767,1,1,"Application Render",9.2501
629.7967,1,1,"Application Compose",0.4592
639.8411,1,1,"SubmitCommandLists",9.9932
640.842,1,1,"CPU Frame",0
647.0167,2,1,"RenderPath3D Update",0.3542
647.0286,2,1,"Application Update",0.4251
652.04,2,1,"Application Render",5.0052
654.6758,2,1,"Application Compose",1.0885
659.3676,2,1,"SubmitCommandLists",4.5702
672.6011,2,1,"Shadowmap packing",0.000300000014
672.6392,2,1,"Render",5.00470018
672.6441,2,1,"Procedural Animations",0.00170000002
672.6482,2,1,"Script Components",0.000300000014
672.6545,2,1,"CPU Frame",13.9307003
672.6581,2,1,"Input",0.225400001
672.664,2,1,"GUI Update",0.0666000023
672.6683,2,1,"Frustum Culling",0.071800001
672.6721,2,1,"Animations",9.99999975e-05
672.6775,2,1,"Spring Dependencies",0.00079999998
672.6811,2,1,"GUI Render",0.498100013
672.6848,2,1,"Physics",0.0211999994
672.6886,2,1,"Update",0.424600005
672.6922,2,1,"Fixed Update",0.0074
672.6959,2,1,"Spline Update",0.00109999999
672.7004,2,1,"Compose",1.08469999
672.7037,2,1,"Update Buffers (CPU)",0.170000002
673.6755,3,1,"RenderPath3D Update",0.3708
673.6903,3,1,"Application Update",0.4696
675.4343,3,1,"Application Render",1.7402
676.2106,3,1,"Application Compose",0.7216
681.4891,3,1,"SubmitCommandLists",5.2468
683.0671,3,1,"Shadowmap packing",0.000300000014
683.0834,3,1,"Render",1.73880005
683.0871,3,1,"Procedural Animations",0.00419999985
683.0912,3,1,"Script Components",0.000300000014
683.0954,3,1,"CPU Frame",3.68840003
683.0989,3,1,"Input",0.394400001
683.1035,3,1,"GUI Update",0.0727000013
683.1071,3,1,"Frustum Culling",0.0714000016
683.1103,3,1,"Animations",9.99999975e-05
683.1145,3,1,"Spring Dependencies",0.00039999999
683.1183,3,1,"GUI Render",0.0747999996
683.1217,3,1,"Physics",0.0219999999
683.1247,3,1,"Update",0.469000012
683.128,3,1,"Fixed Update",0.0185000002
683.1314,3,1,"Spline Update",0.00100000005
683.1349,3,1,"Compose",0.721000016
683.1389,3,1,"Update Buffers (CPU)",0.273900002
683.8615,4,1,"RenderPath3D Update",0.3189
683.871,4,1,"Application Update",0.4117
684.6768,4,1,"Application Render",0.7996
685.7257,4,1,"Application Compose",1.002
688.7342,4,1,"SubmitCommandLists",2.9547
688.9003,4,1,"Shadowmap packing",0.00039999999
688.9098,4,1,"Render",0.799000025
688.9154,4,1,"Procedural Animations",0.00310000009
688.9198,4,1,"Script Components",0.0013
688.9263,4,1,"CPU Frame",2.72110009
688.9305,4,1,"Input",0.240500003
688.9366,4,1,"GUI Update",0.0864999965
688.9405,4,1,"Frustum Culling",0.0557999983
688.9444,4,1,"Animations",9.99999975e-05
688.9493,4,1,"Spring Dependencies",0.00079999998
688.9544,4,1,"GUI Render",0.197600007
688.9579,4,1,"Physics",0.0177999996
688.9621,4,1,"Update",0.410400003
688.9663,4,1,"Fixed Update",0.0197999999
688.9703,4,1,"Spline Update",0.00139999995
688.9737,4,1,"Compose",1.00129998
688.9785,4,1,"Update Buffers (CPU)",0.172800004
689.746,5,1,"RenderPath3D Update",0.2829
689.7553,5,1,"Application Update",0.3483
690.4689,5,1,"Application Render",0.7088
691.3656,5,1,"Application Compose",0.8312
695.7555,5,1,"SubmitCommandLists",4.3407
695.8132,5,1,"Shadowmap packing",0.000300000014
695.8191,5,1,"Render",0.708299994
695.8227,5,1,"Procedural Animations",0.00159999996
695.827,5,1,"Script Components",0.000300000014
695.8321,5,1,"CPU Frame",2.60249996
695.8358,5,1,"Input",0.368499994
695.8417,5,1,"GUI Update",0.0544000007
695.8459,5,1,"Frustum Culling",0.0610000007
695.8505,5,1,"Animations",0.000199999995
695.8539,5,1,"Spring Dependencies",0.000300000014
695.8584,5,1,"GUI Render",0.112999998
695.8624,5,1,"Physics",0.00200000009
695.8657,5,1,"Update",0.34740001
695.8693,5,1,"Fixed Update",9.99999975e-05
695.8737,5,1,"Spline Update",0.000300000014
695.877,5,1,"Compose",0.830799997
695.8815,5,1,"Update Buffers (CPU)",0.144299999
696.7449,6,1,"RenderPath3D Update",0.3709
696.757,6,1,"Application Update",0.5315
697.5293,6,1,"Application Render",0.767
698.3317,6,1,"Application Compose",0.7464
705.267,6,1,"SubmitCommandLists",6.8645
705.9344,6,1,"Shadowmap packing",0.00039999999
705.9542,6,1,"Render",0.766700029
705.9588,6,1,"Procedural Animations",0.00170000002
705.9636,6,1,"Script Components",0.00039999999
705.9693,6,1,"CPU Frame",2.58349991
705.9736,6,1,"Input",0.231900007
705.9791,6,1,"GUI Update",0.107100002
