elapsed_ms,frame,scene,event,ms
1780.0593,1,1,"Scene switch",1346.7727
1791.0896,1,1,"SetVSync",11.0083
1793.0481,1,1,"RenderPath3D Update",1.909
1793.0662,1,1,"Application Update",1359.8844
1798.816,1,1,"Application Render",5.747
1799.6683,1,1,"Application Compose",0.3094
1804.1015,1,1,"SubmitCommandLists",4.3974
1804.7788,1,1,"CPU Frame",0
1821.4716,2,1,"SetVSync",13.054
1821.7956,2,1,"RenderPath3D Update",0.2801
1821.8026,2,1,"Application Update",13.4093
1824.294,2,1,"Application Render",2.4879
1825.1651,2,1,"Application Compose",0.3619
1826.9481,2,1,"SubmitCommandLists",1.7442
1835.3851,2,1,"Shadowmap packing",0.000199999995
1835.4016,2,1,"Render",2.48699999
1835.4042,2,1,"Procedural Animations",0.00179999997
1835.4067,2,1,"Script Components",0.000699999975
1835.4094,2,1,"CPU Frame",20.5095005
1835.4114,2,1,"Input",0.134900004
1835.4139,2,1,"GUI Update",0.0571999997
1835.4161,2,1,"Frustum Culling",0.063000001
1835.4181,2,1,"Animations",9.99999975e-05
1835.4204,2,1,"Spring Dependencies",0.00039999999
1835.4228,2,1,"GUI Render",0.107100002
1835.4246,2,1,"Physics",0.0152000003
1835.4264,2,1,"Update",13.4083004
1835.4283,2,1,"Fixed Update",0.00659999996
1835.4302,2,1,"Spline Update",0.00039999999
1835.432,2,1,"Compose",0.361099988
1835.4339,2,1,"Update Buffers (CPU)",0.144099995
1848.0835,3,1,"SetVSync",12.4517
1848.2983,3,1,"RenderPath3D Update",0.1902
1848.3059,3,1,"Application Update",12.7023
1849.5546,3,1,"Application Render",1.2434
1850.1189,3,1,"Application Compose",0.5099
1852.3613,3,1,"SubmitCommandLists",2.2215
1853.6514,3,1,"Shadowmap packing",0.000500000024
1853.6651,3,1,"Render",1.2428
1853.6679,3,1,"Procedural Animations",0.00179999997
1853.6704,3,1,"Script Components",0.000199999995
1853.6734,3,1,"CPU Frame",14.7677002
1853.6754,3,1,"Input",0.143000007
1853.6795,3,1,"GUI Update",0.0298999995
1853.6815,3,1,"Frustum Culling",0.0560000017
1853.6835,3,1,"Animations",9.99999975e-05
1853.6861,3,1,"Spring Dependencies",0.000300000014
1853.6886,3,1,"GUI Render",0.0746000037
1853.6904,3,1,"Physics",0.00549999997
1853.6923,3,1,"Update",12.7017002
1853.6957,3,1,"Fixed Update",0.0055999998
1853.6974,3,1,"Spline Update",0.000300000014
1853.6993,3,1,"Compose",0.509199977
1853.7014,3,1,"Update Buffers (CPU)",0.207499996
1864.8594,4,1,"SetVSync",10.9096
1865.1849,4,1,"RenderPath3D Update",0.2832
1865.1907,4,1,"Application Update",11.2696
1865.8334,4,1,"Application Render",0.6386
1866.3465,4,1,"Application Compose",0.4801
1869.047,4,1,"SubmitCommandLists",2.6745
1869.8235,4,1,"Shadowmap packing",0.00039999999
1869.8329,4,1,"Render",0.637600005
1869.8354,4,1,"Procedural Animations",0.00200000009
1869.8386,4,1,"Script Components",9.99999975e-05
1869.8415,4,1,"CPU Frame",12.7355003
1869.8435,4,1,"Input",0.1866
1869.8464,4,1,"GUI Update",0.0606000014
1869.8487,4,1,"Frustum Culling",0.0601000004
1869.8506,4,1,"Animations",0.000300000014
1869.8528,4,1,"Spring Dependencies",0.00079999998
1869.8556,4,1,"GUI Render",0.104599997
1869.8573,4,1,"Physics",0.0115
1869.8596,4,1,"Update",11.2693005
1869.8619,4,1,"Fixed Update",0.00620000018
1869.8637,4,1,"Spline Update",0.000300000014
1869.8655,4,1,"Compose",0.478599995
1869.8673,4,1,"Update Buffers (CPU)",0.164000005
1880.2696,5,1,"SetVSync",10.1575
1880.5093,5,1,"RenderPath3D Update",0.2146
1880.5156,5,1,"Application Update",10.4222
1880.9433,5,1,"Application Render",0.4247
1881.5585,5,1,"Application Compose",0.5821
1883.2132,5,1,"SubmitCommandLists",1.6414
1883.2507,5,1,"Shadowmap packing",0.00039999999
1883.2542,5,1,"Render",0.424199998
1883.2563,5,1,"Procedural Animations",0.0013
1883.2586,5,1,"Script Components",0.00039999999
1883.261,5,1,"CPU Frame",11.7665997
1883.263,5,1,"Input",0.201700002
1883.2654,5,1,"GUI Update",0.0366999991
1883.2676,5,1,"Frustum Culling",0.0579000004
1883.2694,5,1,"Animations",9.99999975e-05
1883.2716,5,1,"Spring Dependencies",0.000699999975
1883.2741,5,1,"GUI Render",0.0463000014
1883.2758,5,1,"Physics",0.00930000003
1883.2776,5,1,"Update",10.4218998
1883.2795,5,1,"Fixed Update",0.00480000023
1883.2814,5,1,"Spline Update",0.00039999999
1883.2832,5,1,"Compose",0.58160001
1883.4436,5,1,"Update Buffers (CPU)",0.114399999
1896.7793,6,1,"SetVSync",13.0852
1897.1341,6,1,"RenderPath3D Update",0.303
1897.1432,6,1,"Application Update",13.4839
1897.8722,6,1,"Application Render",0.7245
1898.3844,6,1,"Application Compose",0.459
1901.7099,6,1,"SubmitCommandLists",3.3071
1901.8154,6,1,"Shadowmap packing",0.000600000028
1901.8242,6,1,"Render",0.723399997
1901.8278,6,1,"Procedural Animations",0.0037
1901.8327,6,1,"Script Components",0.00039999999
1901.8377,6,1,"CPU Frame",15.1590004
1901.8409,6,1,"Input",0.180999994
1901.8464,6,1,"GUI Update",0.0527999997
1901.8506,6,1,"Frustum Culling",0.0562000014
1901.8546,6,1,"Animations",0.00039999999
1901.858,6,1,"Spring Dependencies",0.00109999999
1901.8639,6,1,"GUI Render",0.0750999972
1901.8672,6,1,"Physics",0.0132999998
1901.8702,6,1,"Update",13.4835997
1901.8736,6,1,"Fixed Update",0.00620000018
1901.8777,6,1,"Spline Update",0.00079999998
1901.881,6,1,"Compose",0.458299994
1901.8845,6,1,"Update Buffers (CPU)",0.1778
1914.223,7,1,"SetVSync",11.7948
1914.4547,7,1,"RenderPath3D Update",0.2029
1914.4604,7,1,"Application Update",12.174
1915.7838,7,1,"Application Render",1.3207
1916.4664,7,1,"Application Compose",0.6269
1918.309,7,1,"SubmitCommandLists",1.822
1918.366,7,1,"Shadowmap packing",0.000199999995
1918.3697,7,1,"Render",1.32029998
1918.3723,7,1,"Procedural Animations",0.00150000001
1918.3747,7,1,"Script Components",0.00039999999
1918.3775,7,1,"CPU Frame",14.7256002
1918.3795,7,1,"Input",0.322400004
1918.3831,7,1,"GUI Update",0.0362999998
1918.3856,7,1,"Frustum Culling",0.0375999995
1918.3876,7,1,"Animations",9.99999975e-05
1918.3901,7,1,"Spring Dependencies",0.000199999995
1918.3924,7,1,"GUI Render",0.0865999982
1918.3945,7,1,"Physics",0.00549999997
1918.3963,7,1,"Update",12.1733999
1918.3985,7,1,"Fixed Update",0.0165999997
1918.4005,7,1,"Spline Update",0.000300000014
1918.4024,7,1,"Compose",0.62620002
1918.4046,7,1,"Update Buffers (CPU)",0.183400005
1931.4822,8,1,"SetVSync",12.7667
1931.8176,8,1,"RenderPath3D Update",0.2793
1931.8254,8,1,"Application Update",13.1558
1932.4069,8,1,"Application Render",0.5782
1932.9483,8,1,"Application Compose",0.5133
1934.7384,8,1,"SubmitCommandLists",1.7743
1934.7868,8,1,"Shadowmap packing",0.000300000014
1934.7906,8,1,"Render",0.577300012
1934.7926,8,1,"Procedural Animations",0.00300000003
1934.7952,8,1,"Script Components",0.00039999999
1934.7982,8,1,"CPU Frame",14.6218996
1934.8002,8,1,"Input",0.234500006
1934.803,8,1,"GUI Update",0.0595999993
1934.8051,8,1,"Frustum Culling",0.0527000017
1934.807,8,1,"Animations",9.99999975e-05
1934.8094,8,1,"Spring Dependencies",0.00039999999
1934.8118,8,1,"GUI Render",0.0667999983
1934.8139,8,1,"Physics",0.0151000004
1934.8158,8,1,"Update",13.1554003
1934.8179,8,1,"Fixed Update",0.00889999978
1934.82,8,1,"Spline Update",0.0013
1934.8222,8,1,"Compose",0.512899995
1934.825,8,1,"Update Buffers (CPU)",0.166899994
1945.8478,9,1,"SetVSync",10.7512
1946.1861,9,1,"RenderPath3D Update",0.2603
1946.1965,9,1,"Application Update",11.1358
1946.7058,9,1,"Application Render",0.5056
1947.2489,9,1,"Application Compose",0.4981
