"round","run_position","mode","pattern","managed_percent","p50_ms","p95_ms","p99_ms","managed_usage_average","managed_usage_peak","late_residency","compulsory_misses","predictable_misses","bytes_evicted","reloads"
,,,,,,,,,,,,,,
"0","0","baseline","mixed","100","0.7555","0.8137","0.8771","0","0","0","0","0","0","0"
,,,,,,,,,,,,,,
"0","1","arc","mixed","100","0.7545","0.8313","0.8965","0","0","0","0","0","222298112","106"
,,,,,,,,,,,,,,
"0","2","auto","mixed","45","0.7554","0.814","0.8662","18407751","20971520","9","9","0","52428800","25"
,,,,,,,,,,,,,,
"0","3","auto","mixed","55","0.7561","0.812","0.8703","21939705","25165824","5","5","0","37748736","18"
,,,,,,,,,,,,,,
"0","4","auto","mixed","65","0.7553","0.8049","0.8624","25434958","29360128","5","5","0","35651584","17"
,,,,,,,,,,,,,,
"0","5","auto","mixed","75","0.7527","0.8089","0.8613","28751953","33554432","5","5","0","29360128","14"
,,,,,,,,,,,,,,
"0","6","auto","mixed","85","0.7545","0.8115","0.901","33823566","37748736","5","5","0","27262976","13"
,,,,,,,,,,,,,,
"0","7","baseline","cycle","100","0.7544","0.8084","0.8674","0","0","0","0","0","0","0"
,,,,,,,,,,,,,,
"0","8","arc","cycle","100","0.7536","0.8169","0.8751","0","0","0","0","0","46137344","22"
,,,,,,,,,,,,,,
"0","9","auto","cycle","45","0.7535","0.8095","0.8906","16777216","16777216","0","0","0","33554432","16"
,,,,,,,,,,,,,,
"0","10","auto","cycle","55","0.7544","0.8324","0.8642","20971520","20971520","0","0","0","29360128","14"
,,,,,,,,,,,,,,
"0","11","auto","cycle","65","0.755","0.8087","0.8647","23068672","23068672","0","0","0","27262976","13"
,,,,,,,,,,,,,,
"0","12","auto","cycle","75","0.7549","0.8103","0.8904","25165824","25165824","0","0","0","25165824","12"
,,,,,,,,,,,,,,
"0","13","auto","cycle","85","0.7538","0.8311","0.8727","31457280","31457280","0","0","0","18874368","9"
,,,,,,,,,,,,,,
"0","14","baseline","phase","100","0.7547","0.8302","0.8859","0","0","0","0","0","0","0"
,,,,,,,,,,,,,,
"0","15","arc","phase","100","0.7537","0.8081","0.849","0","0","0","0","0","54525952","26"
