"round","run_position","mode","pattern","managed_percent","p50_ms","p95_ms","p99_ms","managed_usage_average","managed_usage_peak","late_residency","compulsory_misses","predictable_misses","bytes_evicted","reloads"
,,,,,,,,,,,,,,
"0","0","baseline","mixed","100","0.7822","1.1166","1.2845","0","0","0","0","0","0","0"
,,,,,,,,,,,,,,
"0","1","arc","mixed","100","0.7885","1.124","1.4091","0","0","0","0","0","222298112","106"
,,,,,,,,,,,,,,
"0","2","auto","mixed","45","0.7947","1.1524","1.4029","18407751","20971520","9","9","0","52428800","25"
,,,,,,,,,,,,,,
"0","3","auto","mixed","55","0.7824","1.1192","1.2654","21939705","25165824","5","5","0","37748736","18"
,,,,,,,,,,,,,,
"0","4","auto","mixed","65","0.7858","1.1116","1.3703","25434958","29360128","5","5","0","35651584","17"
,,,,,,,,,,,,,,
"0","5","auto","mixed","75","0.7757","1.1305","1.4792","28751953","33554432","5","5","0","29360128","14"
,,,,,,,,,,,,,,
"0","6","auto","mixed","85","0.7831","1.1305","1.4092","33823566","37748736","5","5","0","27262976","13"
,,,,,,,,,,,,,,
"0","7","baseline","cycle","100","0.8213","1.169","1.4263","0","0","0","0","0","0","0"
,,,,,,,,,,,,,,
"0","8","arc","cycle","100","0.7725","0.876","1.0091","0","0","0","0","0","46137344","22"
,,,,,,,,,,,,,,
"0","9","auto","cycle","45","0.751","0.8286","0.8787","16777216","16777216","0","0","0","33554432","16"
,,,,,,,,,,,,,,
"0","10","auto","cycle","55","0.7603","0.8384","0.9156","20971520","20971520","0","0","0","29360128","14"
,,,,,,,,,,,,,,
"0","11","auto","cycle","65","0.752","0.8338","0.9045","23068672","23068672","0","0","0","27262976","13"
,,,,,,,,,,,,,,
"0","12","auto","cycle","75","0.7442","0.822","0.9196","25165824","25165824","0","0","0","25165824","12"
,,,,,,,,,,,,,,
"0","13","auto","cycle","85","0.7427","0.8108","0.8733","31457280","31457280","0","0","0","18874368","9"
,,,,,,,,,,,,,,
"0","14","baseline","phase","100","0.7428","0.8063","0.8731","0","0","0","0","0","0","0"
,,,,,,,,,,,,,,
"0","15","arc","phase","100","0.7439","0.8279","0.9198","0","0","0","0","0","54525952","26"
,,,,,,,,,,,,,,
"0","16","auto","phase","45","0.7441","0.8195","0.8687","15749611","20971520","4","4","0","41943040","20"
,,,,,,,,,,,,,,
"0","17","auto","phase","55","0.7412","0.8092","0.8615","20971520","20971520","0","0","0","29360128","14"
,,,,,,,,,,,,,,
"0","18","auto","phase","65","0.7431","0.8337","0.9093","23068672","23068672","0","0","0","27262976","13"
,,,,,,,,,,,,,,
"0","19","auto","phase","75","0.743","0.8138","0.8609","25165824","25165824","0","0","0","25165824","12"
,,,,,,,,,,,,,,
"0","20","auto","phase","85","0.7444","0.8221","0.8909","31457280","31457280","0","0","0","18874368","9"
,,,,,,,,,,,,,,
"0","21","baseline","stream","100","0.7538","0.8478","0.922","0","0","0","0","0","0","0"
,,,,,,,,,,,,,,
"0","22","arc","stream","100","0.7792","1.0911","1.2514","0","0","0","0","0","85983232","41"
,,,,,,,,,,,,,,
"0","23","auto","stream","45","0.7925","1.171","1.4234","17640543","20971520","16","16","0","65011712","31"
,,,,,,,,,,,,,,
