"round","run_position","mode","pattern","managed_percent","p50_ms","p95_ms","p99_ms","managed_usage_average","managed_usage_peak","late_residency","compulsory_misses","predictable_misses","bytes_evicted","reloads"
,,,,,,,,,,,,,,
"0","0","baseline","mixed","100","0.7829","0.9567","1.5254","0","0","0","0","0","0","0"
,,,,,,,,,,,,,,
"0","1","arc","mixed","100","0.8039","1.4323","1.7636","0","0","0","0","0","222298112","106"
,,,,,,,,,,,,,,
"0","2","auto","mixed","45","0.7894","1.1155","1.5595","18407751","20971520","9","9","0","52428800","25"
,,,,,,,,,,,,,,
"0","3","auto","mixed","55","0.7892","1.3769","1.9274","21939705","25165824","5","5","0","37748736","18"
,,,,,,,,,,,,,,
"0","4","auto","mixed","65","0.8073","1.47","1.9087","25434958","29360128","5","5","0","35651584","17"
,,,,,,,,,,,,,,
"0","5","auto","mixed","75","0.7884","1.3844","1.7042","28751953","33554432","5","5","0","29360128","14"
,,,,,,,,,,,,,,
"0","6","auto","mixed","85","0.7697","1.2736","2.0376","33823566","37748736","5","5","0","27262976","13"
,,,,,,,,,,,,,,
"0","7","baseline","cycle","100","0.7431","0.836","0.9366","0","0","0","0","0","0","0"
,,,,,,,,,,,,,,
"0","8","arc","cycle","100","0.7712","0.8564","0.9382","0","0","0","0","0","46137344","22"
,,,,,,,,,,,,,,
"0","9","auto","cycle","45","0.7555","0.8602","0.9218","16777216","16777216","0","0","0","33554432","16"
,,,,,,,,,,,,,,
"0","10","auto","cycle","55","0.7607","0.8585","0.9585","20971520","20971520","0","0","0","29360128","14"
,,,,,,,,,,,,,,
"0","11","auto","cycle","65","0.7787","0.8457","0.9134","23068672","23068672","0","0","0","27262976","13"
,,,,,,,,,,,,,,
"0","12","auto","cycle","75","0.743","0.8157","0.864","25165824","25165824","0","0","0","25165824","12"
,,,,,,,,,,,,,,
"0","13","auto","cycle","85","0.7662","0.8398","0.8815","31457280","31457280","0","0","0","18874368","9"
,,,,,,,,,,,,,,
"0","14","baseline","phase","100","0.7468","0.841","0.9218","0","0","0","0","0","0","0"
,,,,,,,,,,,,,,
"0","15","arc","phase","100","0.7965","1.4438","1.9611","0","0","0","0","0","54525952","26"
,,,,,,,,,,,,,,
"0","16","auto","phase","45","0.772","1.0035","1.4931","15749611","20971520","4","4","0","41943040","20"
,,,,,,,,,,,,,,
"0","17","auto","phase","55","0.7992","1.5505","2.1955","20971520","20971520","0","0","0","29360128","14"
,,,,,,,,,,,,,,
"0","18","auto","phase","65","0.7489","1.6969","2.1871","23068672","23068672","0","0","0","27262976","13"
,,,,,,,,,,,,,,
"0","19","auto","phase","75","0.7689","1.3715","2.0125","25165824","25165824","0","0","0","25165824","12"
,,,,,,,,,,,,,,
"0","20","auto","phase","85","0.7443","0.8231","0.9168","31457280","31457280","0","0","0","18874368","9"
,,,,,,,,,,,,,,
"0","21","baseline","stream","100","0.7462","1.3096","2.2485","0","0","0","0","0","0","0"
,,,,,,,,,,,,,,
"0","22","arc","stream","100","0.7454","1.1872","1.9238","0","0","0","0","0","85983232","41"
,,,,,,,,,,,,,,
"0","23","auto","stream","45","0.7437","0.8354","0.9106","17640543","20971520","16","16","0","65011712","31"
,,,,,,,,,,,,,,
"0","24","auto","stream","55","0.7952","1.4741","1.7624","21728242","25165824","14","14","0","56623104","27"
,,,,,,,,,,,,,,
